dataset_label,dataset_session,dataset_row_index,dataset_manual_lap_count,dataset_manual_lap_marked,dataset_manual_lap_mark_at_ms,dataset_manual_lap_mark_age_ms,timestamp_unix_ms,uptime_ms,state,local_mode,local_mode_candidate,ai_source,ai_track_mode,line_pos,line_lost,lost_ms,balance_lr,confidence_fast,confidence_avg,sensor_sum,sensor_max,norm0,norm1,norm2,norm3,raw0,raw1,raw2,raw3,pos_norm,trend_pos,trend_pos_avg,curve_intensity,pid_error,pid_integral,pid_d_filt,pid_correction,motor_a_pwm,motor_b_pwm,base_eff,ai_confidence,ai_blend,ai_speed_factor,ai_kp_scale,ai_ki_scale,ai_kd_scale,ai_pivot_threshold,ai_pivot_cap,ai_recovery_bias,dominant_sensor,dataset_label_age_ms,dataset_label_set_at_ms,dataset_label_source,dataset_label_valid,drive_profile,intersection_active,intersection_score,last_dir,run_elapsed_ms,run_intersection_count,run_lap_estimate,seq_fast,seq_slow,timestamp_valid
curve,session_20260423_145902,29,,,,,1776977946000,294828,running,right_hard,right_hard,heuristic,right_hard,899,0,0,0.905113,0.950683,0.950683,1897,914,46,44,914,893,0,0,0,0,0.599333,-0.007333,-0.002444,0.040296,0.599333,0.001906,-0.860742,-0.13706,60,64,57,0.880448,0.58,0,0,0,0,0,0,0.363133,right_inner,0,0,auto:ai_track_mode,1,normal,0,0.2155,right,3247,2,0,2177,0,1
curve,session_20260423_145902,30,,,,,1776977946000,295078,running,right_hard,right_hard,heuristic,right_hard,854,0,0,0.91918,0.919667,0.919667,1658,910,27,40,910,681,0,0,0,0,0.569333,-0.007333,-0.005444,0.117498,0.569333,0.101147,-2.61078,-0.903261,60,104,55,0.864085,0.58,0,0,0,0,0,0,0.374099,right_inner,0,0,auto:ai_track_mode,1,normal,0,0.173072,right,3497,2,0,2178,0,1
straight,session_20260423_145902,31,,,,,1776977946000,295328,running,left_hard,left_hard,heuristic,straight,-966,0,0,-0.956359,0.877808,0.877808,1604,797,797,772,21,14,0,0,0,0,-0.644,-0.006,-0.005111,0.132569,-0.644,0.137446,-3.007548,-1.25,-60,132,59,0.897648,0.58,0,0,0,0,0,0,-0.25,left_outer,0,0,auto:ai_track_mode,1,normal,0,0.16138,left,3747,2,0,2179,0,1
recovery,session_20260423_145902,32,,,,,1776977947000,295579,running,recover,recover,heuristic,left_hard,318,1,35,0.220779,0.172917,0.172917,77,26,10,20,21,26,0,0,0,0,0.212,-0.082,0.029556,0.070933,0,0,0,0,-180,180,0,0.550375,0.58,0,0,0,0,0,0,-0.220972,right_outer,0,0,auto:line_lost,1,normal,0,0,left,3998,2,0,2181,0,1
curve,session_20260423_145902,33,,,,,1776977947000,295830,running,left_hard,left_hard,heuristic,left_soft,-884,0,0,-0.8742,0.946558,0.946558,1876,890,868,890,90,28,0,0,0,0,-0.589333,-0.004667,-0.027556,0.323281,-0.589333,-0.024458,-6.428696,-1.25,-60,130,58,0.880481,0.58,0,0,0,0,0,0,-0.265715,left_inner,0,0,auto:ai_track_mode,1,normal,0,0.20393,left,4249,2,0,2182,0,1
recovery,session_20260423_145902,34,,,,,1776977947000,296081,running,recover,recover,heuristic,recover,100,1,51,0.057143,0.188483,0.188483,70,30,25,8,7,30,0,0,0,0,0.066667,0.014667,-0.000333,0.0008,0,0,0,0,-180,180,0,0.338636,0.58,0,0,0,0,0,0,-0.25,right_outer,0,0,auto:line_lost,1,normal,0,0,left,4500,2,0,2184,0,1
curve,session_20260423_145902,35,,,,,1776977947000,296332,running,left_hard,left_hard,heuristic,left_soft,-961,0,0,-0.930883,0.959025,0.959025,1823,934,934,826,34,29,0,0,0,0,-0.640667,-0.004,-0.001444,0.046776,-0.640667,-0.065974,-1.082744,-0.692565,60,101,60,0.875024,0.58,0,0,0,0,0,0,-0.369717,left_outer,0,0,auto:ai_track_mode,1,normal,0,0.201499,left,4750,3,0,2185,0,1
curve,session_20260423_145902,36,,,,,1776977948000,296582,running,left_hard,left_hard,heuristic,left_hard,-914,0,0,-0.92132,0.706219,0.706219,1576,772,742,772,35,27,0,0,0,0,-0.609333,0.003333,0.04,0.235046,-0.609333,-0.005474,3.476141,1.25,112,-60,50,0.57073,0.58,0,0,0,0,0,0,-0.370556,left_inner,0,0,auto:ai_track_mode,1,normal,0,0.13837,left,5001,3,0,2187,0,1
curve,session_20260423_145902,37,,,,,1776977948000,296832,running,right_hard,right_hard,heuristic,right_soft,5,0,0,0.015347,0.913925,0.913925,3258,849,849,755,813,841,0,0,0,0,0.003333,-0.005333,-0.090333,0.47173,0.003333,0.078796,-6.373255,-1.25,0,175,78,0.858317,0.58,0,0,0,0,0,0,0.163442,left_outer,0,0,auto:ai_track_mode,1,normal,1,0.935914,right,5251,4,0,2188,0,1
curve,session_20260423_145902,38,,,,,1776977948000,297083,running,right_hard,right_hard,heuristic,right_hard,1336,0,0,0.903056,0.796083,0.796083,949,861,21,25,42,861,0,0,0,0,0.890667,-0.001333,0.003667,0.046821,0.890667,0.002355,0.950521,0.775816,76,60,43,0.749158,0.58,0,0,0,0,0,0,0.359884,right_outer,0,0,auto:ai_track_mode,1,normal,0,0.119723,right,5502,4,0,2189,0,1
